input_size,workload,delay_tolerance,v_left,rsu1_left,rsu2_left,rsu3_left,offload
854.212,1661.88,0.259389,119.265,310.431,378.889,125.831,2
749.151,779.75,0.286801,54.5341,353.642,352.531,18.4,1
708.121,479.75,0.267711,29.2879,456.899,10.5062,435.354,1
511.091,1958.75,0.378732,42.8712,309.789,57.8642,33.9231,1
42.697,157.375,0.103626,69.9735,422.275,153.765,471.569,3
406.242,70.5625,0.365246,30.6212,426.128,155.778,52.8615,1
273.212,167,0.418091,30.0379,225.743,378.864,133.969,2
799.727,942.625,0.5159,111.905,475.605,123.272,354.677,1
575.485,699.75,0.136338,72.0303,214,400.247,358.138,2
969.242,905.188,0.151527,65.4508,455.945,400.914,200.046,1
97.2424,91,0.290454,71.4811,451.798,109.778,471.185,3
390.485,995.062,0.862474,66.8674,224.44,226.383,384.985,3
838.909,281.688,0.808393,88.6667,300.367,65.0494,399.092,3
86.6364,1322.69,0.334758,51.0417,222.477,373.025,60.5538,2
187.394,1691.56,0.97506,111.152,288.092,5.55556,164.692,1
225.061,499.375,0.325144,83.0568,283.642,275.346,421.138,3
317.091,624.312,0.331132,60.0871,260.972,251.16,204.646,1
570.758,1468.44,0.574981,124.015,433.413,59.642,137.908,1
603.424,1300.88,0.825285,60.2803,426.596,319.407,489.215,3
972.818,1532.88,0.404468,60.6098,373.605,197.988,181.415,1
263.061,344.812,0.684957,105.159,481.605,20.6543,461.215,1
549.424,690.062,0.476952,122.576,357.294,403.543,389.2,2
204.667,871.375,0.622279,109.614,430.193,199.16,298.308,1
691.727,1971.38,0.374749,74.4545,447.789,194.79,381.523,1
521.909,1716.81,0.239668,102.5,388.018,288.469,473.815,3
622.242,1033.38,0.67647,36.4394,266.147,319.259,288.015,2
486.242,527.688,0.751701,62.2614,273.339,367.321,120.354,2
557.606,136.875,0.676772,79.5227,429.725,182.543,277,1
450.152,1302.06,0.887936,16.3182,287.312,29.7654,245.523,1
218.697,754.5,0.439241,84.4091,270.495,182.247,399.923,3
602.545,1614.75,0.293283,31.8788,379.679,137.654,205.092,1
787.242,1749.62,0.12277,112.432,250.587,47.2346,246.785,1
952.03,1318.62,0.890848,98.0871,202.982,173.704,36.4308,1
37.5455,375.75,0.772246,47.2348,357.009,59.0617,428.923,3
458.576,1809.75,0.722861,23.7538,457.119,95.1852,82.5077,1
658,511.938,0.414109,120.845,488,301.42,343.969,1
682.212,784.75,0.436137,95.2765,213.119,215.346,426.615,3
639.121,805.812,0.447453,89.9015,426.018,364.654,288.785,1
946.697,730,0.726569,12.3977,437.257,326.42,138.215,1
